id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,39,2,2,3,0,1756,1,0,1,3,4,939,1,-1,0,4,1
2,51,3,2,2,0,1443,0,0,1,18,2,172,10,-1,0,4,1
3,36,5,3,4,0,436,0,0,1,13,4,567,1,595,2,1,1
4,63,6,2,3,0,474,0,0,1,25,1,423,1,-1,0,4,1
5,31,5,3,4,0,354,0,0,1,30,4,502,1,9,2,3,1
6,29,2,3,3,0,260,1,0,3,2,6,707,14,-1,0,4,1
7,37,8,2,3,0,52,1,0,1,6,9,908,1,185,9,3,1
8,32,10,3,3,0,230,1,0,1,18,5,442,1,266,8,1,1
9,31,1,3,3,0,0,1,0,1,7,5,895,2,295,2,1,1
10,32,7,3,4,0,1815,0,0,2,10,8,235,1,102,2,1,1
11,35,7,3,4,0,353,0,0,1,12,8,582,1,-1,0,4,1
12,34,10,1,3,0,1451,1,0,3,30,5,1097,15,-1,0,4,1
13,34,1,3,4,0,625,0,1,3,31,8,34,1,-1,0,4,1
14,31,5,1,4,0,883,1,0,1,5,3,112,2,106,1,1,1
15,38,2,2,2,0,5839,1,0,3,4,6,984,2,-1,0,4,1
16,71,10,2,4,0,383,0,0,1,27,4,388,3,-1,0,4,1
17,62,5,2,4,0,557,0,0,1,14,8,185,1,-1,0,4,1
18,66,6,2,3,0,154,0,0,1,15,7,268,5,181,2,1,1
19,46,2,2,2,0,369,1,0,3,13,5,916,2,-1,0,4,1
20,29,1,3,4,0,89,1,0,1,22,7,120,1,-1,0,4,0
21,28,7,2,4,0,112,1,1,1,5,5,145,1,-1,0,4,0
22,67,6,2,2,0,708,0,0,1,11,9,96,2,-1,0,4,0
23,42,5,2,4,0,4,1,0,1,17,7,795,1,-1,0,4,1
24,33,1,1,3,0,420,1,0,2,6,2,112,2,-1,0,4,0
25,39,8,3,3,0,158,1,0,3,6,6,354,2,-1,0,4,0
26,57,6,1,4,0,66,1,0,1,11,5,798,2,-1,0,4,0
27,43,5,3,4,0,0,0,0,1,11,8,155,2,-1,0,4,0
28,46,8,1,1,0,973,0,0,1,2,2,297,1,-1,0,4,0
29,31,2,2,2,0,-81,1,0,1,22,7,261,1,-1,0,4,0
30,36,10,3,3,0,524,1,0,1,8,4,95,1,-1,0,4,0
31,33,10,3,3,0,0,1,1,1,9,2,47,2,12,4,2,0
32,52,1,3,1,0,2227,0,0,1,24,2,242,2,-1,0,4,1
33,30,7,3,4,0,800,0,0,3,6,5,95,2,-1,0,4,0
34,41,5,2,4,0,-4,1,0,1,8,5,72,1,368,1,1,0
35,29,2,2,3,0,-493,1,0,1,18,5,536,2,334,4,1,1
36,56,5,2,4,0,171,0,1,2,17,7,610,2,-1,0,4,0
37,48,5,2,3,0,2204,1,0,1,12,5,45,1,-1,0,4,0
38,30,10,3,3,0,601,0,0,1,27,2,154,1,-1,0,4,0
39,60,4,1,2,0,1412,0,0,1,22,7,127,4,-1,0,4,0
